branch_id,branch_name,branch_code,status,city,state
B001,Back Bay Office,BOS1,ACTIVE,Boston,MA
B002,Financial District Office,BOS2,ACTIVE,Boston,MA
B003,Midtown Manhattan Office,NYC1,ACTIVE,New York,NY
B004,Long Island Office,NYC2,ACTIVE,Garden City,NY
B005,Buckhead Office,ATL1,ACTIVE,Atlanta,GA
B006,Alpharetta Office,ATL2,ACTIVE,Alpharetta,GA
B007,Brickell Office,SFL1,ACTIVE,Miami,FL
B008,Palm Beach Office,SFL2,ACTIVE,West Palm Beach,FL
B009,The Loop Office,CHI1,ACTIVE,Chicago,IL
B010,Naperville Office,CHI2,ACTIVE,Naperville,IL
B011,Birmingham Office,DET1,ACTIVE,Birmingham,MI
B012,Ann Arbor Office,DET2,ACTIVE,Ann Arbor,MI
B013,Uptown Dallas Office,DFW1,ACTIVE,Dallas,TX
B014,Fort Worth Office,DFW2,ACTIVE,Fort Worth,TX
B015,Galleria Office,HOU1,ACTIVE,Houston,TX
B016,The Woodlands Office,HOU2,ACTIVE,The Woodlands,TX
B017,Cherry Creek Office,DEN1,ACTIVE,Denver,CO
B018,Boulder Office,DEN2,ACTIVE,Boulder,CO
B019,Camelback Office,PHX1,ACTIVE,Phoenix,AZ
B020,Scottsdale Office,PHX2,ACTIVE,Scottsdale,AZ
B021,Embarcadero Office,SFB1,ACTIVE,San Francisco,CA
B022,Palo Alto Office,SFB2,ACTIVE,Palo Alto,CA
B023,Century City Office,LAX1,ACTIVE,Los Angeles,CA
B024,Newport Beach Office,LAX2,ACTIVE,Newport Beach,CA
